ID,GRAD_YEAR,AOC_num,AOC,DIVISION,Industry2,Position,Org_Name
732,2008,2,Computer Science,Natural Sciences,STEM,Software Engineer,"Big Nerd Ranch, Inc."
733,2005,1,Medieval & Renaissance Studies,Interdisciplinary,Education,Social Studies Teacher,Jefferson Middle/High School
734,2011,1,Medieval & Renaissance Studies,Interdisciplinary,Education,Library Science Graduate Student,UNC at Chapel Hill
735,2015,1,Medieval & Renaissance Studies,Interdisciplinary,Health and Medicine,Assistant,LVVS
735,2015,2,Anthropology,Social Sciences,Health and Medicine,Assistant,LVVS
736,2010,1,Spanish Language and Literature,Humanities,Government and Social Services,Seminarian,Diocese of Venice
736,2010,2,Medieval & Renaissance Studies,Interdisciplinary,Government and Social Services,Seminarian,Diocese of Venice
737,2020,1,Music,Humanities,Education,Teacher,Tallahassee Classical School
738,2007,1,Music,Humanities,Arts and Media,Musician/Composer,health adventure
739,2013,1,Music,Humanities,"Business, Finance, and Retail",Manager,Four Winds Cafe
740,2012,1,Music,Humanities,Education,Teacher,Lee County School District
741,2008,1,Music,Humanities,Education,SUMMIT Advisor,Agnes Scott College
742,2013,1,Music,Humanities,Arts and Media,Musician,Coyote Kissies
743,2007,1,Music,Humanities,Arts and Media,Senior Motion Artist,Decoded Advertising
744,2015,1,Music,Humanities,Government and Social Services,Alumnae/i and Special Projects Coordinator,New College Foundation
745,2004,1,Music,Humanities,Health and Medicine,Analyst,HealthMetrics Partners
746,2004,1,Music,Humanities,Education,Professor of Music,Curtis Institute of Music
746,2004,2,German Language and Literature,Humanities,Education,Professor of Music,Curtis Institute of Music
747,2015,1,Natural Sciences,Natural Sciences,Education,Assistant Language Teacher,JET Program
747,2015,2,Music,Humanities,Education,Assistant Language Teacher,JET Program
748,2010,1,Music,Humanities,Education,"Coordinator of Assessment, Accountability & Effect",Florida Southwestern State College
748,2010,2,Psychology,Social Sciences,Education,"Coordinator of Assessment, Accountability & Effect",Florida Southwestern State College
749,2020,1,Humanities,Humanities,Arts and Media,Composer,Isotropical Games
750,2012,1,"Theater, Dance and Performance Studies",NA,Education,Administrative Assistant,Nelly Berman School of Music
751,2014,1,Music,Humanities,Arts and Media,Audio Engineer and Producer,World Performance Records
751,2014,2,Economics,Social Sciences,Arts and Media,Audio Engineer and Producer,World Performance Records
752,2005,1,Spanish Language and Culture,Humanities,Education,clerical support,New College of Florida
752,2005,2,Music,Humanities,Education,clerical support,New College of Florida
753,2004,1,Music,Humanities,"Business, Finance, and Retail",Software Development Manager,TUNE
753,2004,2,Physics,Natural Sciences,"Business, Finance, and Retail",Software Development Manager,TUNE
754,2014,1,Natural Sciences,Natural Sciences,STEM,Services Advisor,Microsoft Store
755,2015,1,Natural Sciences,Natural Sciences,Health and Medicine,Medical Scribe,Scribe America
756,2011,1,Natural Sciences,Natural Sciences,STEM,Front End Developer,Shopify
757,2013,1,Natural Sciences,Natural Sciences,STEM,Data Scientist,Star2Star Communications
758,2009,1,Natural Sciences,Natural Sciences,Arts and Media,Data Processing Specialist,Nielsen
759,2013,1,Natural Sciences,Natural Sciences,STEM,Biogeochemistry Lab Tech,University of Florida Whitney Lab
760,2006,1,Natural Sciences,Natural Sciences,STEM,Landscape Architect,Falon Land Studio LLC
761,2004,1,Natural Sciences,Natural Sciences,Health and Medicine,Clinical Research Nurse Specialist,"East Carolina University, Brody School of Medicine"
762,2017,1,Natural Sciences,Natural Sciences,Education,Lead instructor,Mathnasium
763,2015,1,Natural Sciences,Natural Sciences,Health and Medicine,Bioinformatics Program,Jewish National Health
764,2012,1,Natural Sciences,Natural Sciences,Education,Math Teacher,Sarasota Middle School
765,2013,1,Natural Sciences,Natural Sciences,STEM,Programmer,Star2Star Communications
766,2011,1,Natural Sciences,Natural Sciences,"Business, Finance, and Retail",Quantitative Research Analyst,Millennium Management
767,2003,1,Natural Sciences,Natural Sciences,Government and Social Services,Civil Libertarian,ACLU of FL
768,2011,1,Natural Sciences,Natural Sciences,Education,Assistant Director,New College Child Center
769,2020,1,Natural Sciences,Natural Sciences,Education,School-Age Child Care (SACC) Program Site Supervis,Ramapo for Children
770,2015,1,Natural Sciences,Natural Sciences,"Business, Finance, and Retail",Customer Success Manager,Feathr
771,2011,1,Natural Sciences,Natural Sciences,Education,Teacher,Score At The Top Learning Centers & Schools
772,2015,1,Natural Sciences,Natural Sciences,STEM,Software Developer,Reynolds and Reynolds Company
773,2009,1,Natural Sciences,Natural Sciences,Health and Medicine,Doctor (Resident),Scripps Mercy Hospital
774,2013,1,Natural Sciences,Natural Sciences,Arts and Media,NA,Freelance reporter
775,2020,1,Natural Sciences,Natural Sciences,Government and Social Services,Case Manager,"Hale Law, P.A."
776,2013,1,Natural Sciences,Natural Sciences,"Business, Finance, and Retail",Sales Associate,Guitar Center
777,2013,1,Natural Sciences,Natural Sciences,Other,NA,Self Employed
778,2016,1,Neuroscience,Interdisciplinary,Education,Research Assistant,Boston University - CTE Center
779,2020,1,Neuroscience,Interdisciplinary,STEM,Research Associate II,SystImmune
780,2012,1,Neuroscience,Interdisciplinary,"Business, Finance, and Retail",Scribe and Quality Assurance,Student Business Services CO-OP of Sarasota at Copytalk
781,2020,1,Neuroscience,Interdisciplinary,STEM,Research Assistant,Roskamp Institute
782,2014,1,Neuroscience,Interdisciplinary,"Business, Finance, and Retail",Administrative Assistant,Advanced Energy Resources
783,2020,1,Neuroscience,Interdisciplinary,Health and Medicine,Courtyard Tower Volunteer,Sarasota Memorial Hospital
784,2012,1,Neuroscience,Interdisciplinary,"Business, Finance, and Retail",CEO,Better Better Better Inc
785,2016,1,Neuroscience,Interdisciplinary,Education,Graduate Research Assistant,University of Washington - School of Medicine
786,2019,1,Neuroscience,Interdisciplinary,Education,Postbac Research Fellow,Max Planck Florida Institute for Neuroscience
787,2012,1,Neuroscience,Interdisciplinary,STEM,Research Associate,Immutics
788,2009,1,Neuroscience,Interdisciplinary,Health and Medicine,Per Diem Pharmacist,Pelot's Pharmacy
789,2016,1,Neuroscience,Interdisciplinary,Other,NA,Unknown
789,2016,2,Chemistry,Natural Sciences,Other,NA,Unknown
790,2013,1,"Theater, Dance and Performance Studies",Humanities,Arts and Media,Dancer,Fuzion Dance
791,2008,1,Philosophy,Humanities,Government and Social Services,GIS and Web Development Coordinator,Amazon Conservation Team
792,2004,1,Philosophy,Humanities,Government and Social Services,Legal Intern,"CIRCOR International, Inc."
793,2006,1,Philosophy,Humanities,Education,"Teacher, elementary",unknown
794,2012,1,Philosophy,Humanities,STEM,Software Developer,Wildbright Technology
795,2011,1,Philosophy,Humanities,Government and Social Services,Associate,"Katz, Marshall & Banks LLP"
796,2015,1,Philosophy,Humanities,"Business, Finance, and Retail",NA,Whole Foods Market
797,2005,1,Philosophy,Humanities,Government and Social Services,Staff Attorney,Environmental Law & Policy Center
798,2011,1,Philosophy,Humanities,"Business, Finance, and Retail",NA,Unknown
799,2004,1,Philosophy,Humanities,Education,Graduate Student,University of Chicago
800,2006,1,Philosophy,Humanities,STEM,Research Analyst,Credit Union
801,2007,1,Philosophy,Humanities,Health and Medicine,Medical Case Manager,Mazzoni Center
802,2007,1,Philosophy,Humanities,Education,Professor,Valencia College
803,2013,1,Philosophy,Humanities,Education,Test Prep Tutoring,Solution Skills Inc
804,2018,1,Philosophy,Humanities,Arts and Media,Editorial Asst. for Political Science Media,"W.W. Norton & Company, Inc."
805,2014,1,Philosophy,Humanities,Arts and Media,Staff Writer,Herald Tribune Media
806,2009,1,Philosophy,Humanities,Education,Parenting Educator,Family Partnership Center
807,2012,1,Philosophy,Humanities,Arts and Media,Lead Copywriter/Technical Communications Officer,JobDiva
808,2012,1,Philosophy,Humanities,"Business, Finance, and Retail",Manager,Hubbub Coffee
809,2003,1,Philosophy,Humanities,Education,Assistant Professor,University of Toronto
810,2011,1,Economics,Social Sciences,"Business, Finance, and Retail",Consultant,The Lewin Group
810,2011,2,Philosophy,Humanities,"Business, Finance, and Retail",Consultant,The Lewin Group
811,2012,1,Humanities,Humanities,Government and Social Services,Legal intern,Battery Park City Authority
811,2012,2,Philosophy,Humanities,Government and Social Services,Legal intern,Battery Park City Authority
812,2003,1,Humanities,Humanities,Other,NA,unknown
812,2003,2,Philosophy,Humanities,Other,NA,unknown
813,2003,1,Humanities,Humanities,Government and Social Services,Assistant Attorney General,Office of Maryland Attorney General
813,2003,2,Philosophy,Humanities,Government and Social Services,Assistant Attorney General,Office of Maryland Attorney General
814,2012,1,Classics,Humanities,"Business, Finance, and Retail",NA,FMP Consulting
814,2012,2,Philosophy,Humanities,"Business, Finance, and Retail",NA,FMP Consulting
815,2010,1,Economics,Social Sciences,Government and Social Services,Privacy Attorney,Morrison & Lee LLC
815,2010,2,Philosophy,Humanities,Government and Social Services,Privacy Attorney,Morrison & Lee LLC
816,2005,1,Philosophy,Humanities,Education,Philosophy Professor,Columbia University
816,2005,2,Mathematics,Natural Sciences,Education,Philosophy Professor,Columbia University
817,2015,1,Music,Humanities,Education,Chief Strategist,Renaissance Jacksonville
817,2015,2,Philosophy,Humanities,Education,Chief Strategist,Renaissance Jacksonville
818,2015,1,Music,Humanities,Education,SAT / ACT Teacher,IMG Academy
818,2015,2,Philosophy,Humanities,Education,SAT / ACT Teacher,IMG Academy
819,2008,1,Political Science,Social Sciences,Health and Medicine,"Clinical Fellow, Speech-Language Pathologist",University of Wisconsin-Madison Hospital and Clinics
819,2008,2,Philosophy,Humanities,Health and Medicine,"Clinical Fellow, Speech-Language Pathologist",University of Wisconsin-Madison Hospital and Clinics
820,2005,1,Humanities,Humanities,Education,Associate Professor of Theology,Harvard Divinity School
820,2005,2,Philosophy,Humanities,Education,Associate Professor of Theology,Harvard Divinity School
821,2013,1,Physics,Natural Sciences,Education,Foreign Language Teacher,Shenzhen Education Bureau
822,2006,1,Physics,Natural Sciences,STEM,Application Engineer,Synopsys
823,2007,1,Physics,Natural Sciences,Education,Assistant Professor,Old Dominion University
824,2010,1,Physics,Natural Sciences,Education,Graduate Research Assistant,The University of Texas at Austin
825,2002,1,Physics,Natural Sciences,STEM,Network Specialist and Programmer,methownet.com
826,2010,1,Physics,Natural Sciences,STEM,Mission Architect,NASA
827,2013,1,Physics,Natural Sciences,Education,Teaching Assistant / Research assistant,University of Washington
828,2007,1,Physics,Natural Sciences,Education,Research Associate,Cornell University
829,2015,1,Physics,Natural Sciences,STEM,Software Engineer,Delivery Hero Germany
830,2006,1,Physics,Natural Sciences,Education,PhD Candidate,Argelander Institut fuer Astronomie
831,2008,1,Physics,Natural Sciences,STEM,Systems Engineer,Google
832,2009,1,Physics,Natural Sciences,STEM,NA,Collaborative Drug Discovery
832,2009,2,Chemistry,Natural Sciences,STEM,NA,Collaborative Drug Discovery
833,2004,1,Physics,Natural Sciences,Education,Professor,Great Bay Community College
833,2004,2,Mathematics,Natural Sciences,Education,Professor,Great Bay Community College
834,2009,1,Political Science,Social Sciences,Government and Social Services,Associate,Sinapi Law Associates
835,2003,1,Political Science,Social Sciences,Education,Assistant Professor of Political Science,West Virginia Universtiy
836,2018,1,Political Science,Social Sciences,Government and Social Services,Client Development Strategist,Husch Blackwell LLP
837,2011,1,Political Science,Social Sciences,Arts and Media,Reporter,Gizmodo
838,2007,1,Political Science,Social Sciences,Government and Social Services,Attorney,Ruane Attorneys at Law
839,2010,1,Political Science,Social Sciences,"Business, Finance, and Retail",server,Bonefish Grill
840,2020,1,Political Science,Social Sciences,Government and Social Services,City Year Americorps Member,City Year
841,2003,1,Political Science,Social Sciences,"Business, Finance, and Retail",Senior Wealth Planner,HSBC Private Banking
842,2019,1,Political Science,Social Sciences,Health and Medicine,Coach,Healthy Gamer
843,2009,1,Political Science,Social Sciences,"Business, Finance, and Retail",Regional Manager,Vinayaka Hospitality
844,2002,1,Political Science,Social Sciences,Government and Social Services,Contracting Officer,US Agency for International Development
845,2016,1,Political Science,Social Sciences,Government and Social Services,Associate Attorney,Barnes Walker
846,2004,1,Political Science,Social Sciences,Government and Social Services,Business & Industry Specialist,U.S. General Services Administration
847,2008,1,Political Science,Social Sciences,Government and Social Services,Public Affairs Advisor,Holland & Knight
848,2003,1,Political Science,Social Sciences,Education,Assistant Professor - Political Science,University of Maine
849,2003,1,Political Science,Social Sciences,Government and Social Services,Community Engagement Coordinator,Realize Bradenton
850,2006,1,Political Science,Social Sciences,Government and Social Services,Attorney,McCulloch Law PA
851,2014,1,Political Science,Social Sciences,Arts and Media,Project Producer and Client Liason,Authority Marketing Films
852,2015,1,Political Science,Social Sciences,Health and Medicine,NA,Rosemary Birthing Home
853,2012,1,Political Science,Social Sciences,Government and Social Services,Judicial Law Clerk,Michigan Supreme Court
854,2003,1,Political Science,Social Sciences,Government and Social Services,Paralegal,Buchanan Angeli Altschul & Sullivan LLP
855,2009,1,Political Science,Social Sciences,Government and Social Services,Chief of Staff,Broward County Commission
856,2007,1,Political Science,Social Sciences,Government and Social Services,NA,Bloomberg BNA
857,2020,1,Political Science,Social Sciences,Government and Social Services,Agency Relations Coordinator,All Faiths Food Bank
858,2003,1,Political Science,Social Sciences,STEM,System Representative,Johnson Controls
859,2012,1,Political Science,Social Sciences,Government and Social Services,Associate,Winston & Strawn LLP
860,2007,1,Political Science,Social Sciences,Education,Assistant Program Director,West Virginia University School of Public Health
861,2013,1,Political Science,Social Sciences,Government and Social Services,Legislative Research Assistant,Florida House of Representatives
862,2016,1,Political Science,Social Sciences,Education,Assoc. Director of Volunteer & Class Engagement,Rollins College
863,2008,1,Political Science,Social Sciences,"Business, Finance, and Retail",Data & Target Manager,Information Staffing Services Inc (State Voices)
864,2004,1,Political Science,Social Sciences,Education,NA,George Washington University
865,2003,1,Political Science,Social Sciences,Arts and Media,Classifieds Account Executive,Independent Weekly
866,2004,1,Political Science,Social Sciences,Government and Social Services,Attorney,McBreen & Nowack PA
867,2009,1,Political Science,Social Sciences,Government and Social Services,Attorney,Gina DeCrescenzo P.C.
868,2002,1,Political Science,Social Sciences,Government and Social Services,Attorney in Immigration Practice Group,Gunster
869,2005,1,Political Science,Social Sciences,"Business, Finance, and Retail",Treasury Operations Analyst,"Intermex Wire Transfer, LLC"
870,2004,1,Political Science,Social Sciences,Government and Social Services,Program Administrator,Florida Dept. of Environmental Protection
871,2004,1,Political Science,Social Sciences,Government and Social Services,Director of Governmental Affairs,The City of New York-Department of City Planning
872,2018,1,Political Science,Social Sciences,Education,Social Studies Teacher,IMG Academy
873,2004,1,Political Science,Social Sciences,Government and Social Services,Director of Innovation,U.S. General Services Administration
874,2016,1,Political Science,Social Sciences,"Business, Finance, and Retail",Client Relations Manager,Benchmark Mercant Solutions
875,2004,1,Political Science,Social Sciences,Government and Social Services,Partner,Hirschen Singer & Epstein LLP
876,2020,1,Political Science,Social Sciences,Government and Social Services,Legal Assistant,"H New Media, LLC"
876,2020,2,Economics,Social Sciences,Government and Social Services,Legal Assistant,"H New Media, LLC"
877,2009,1,Political Science,Social Sciences,Education,PhD Candidate & Teaching Assistant,University of Virginia
877,2009,2,Economics,Social Sciences,Education,PhD Candidate & Teaching Assistant,University of Virginia
878,2003,1,Political Science,Social Sciences,Government and Social Services,Attorney,Sylvia Manzanero Law Firm PLLC
878,2003,2,Economics,Social Sciences,Government and Social Services,Attorney,Sylvia Manzanero Law Firm PLLC
879,2004,1,Political Science,Social Sciences,"Business, Finance, and Retail",Head of Organization Division,"Cibank, KBC Group"
879,2004,2,Economics,Social Sciences,"Business, Finance, and Retail",Head of Organization Division,"Cibank, KBC Group"
880,2005,1,Political Science,Social Sciences,STEM,Assistant Director,Tampa Bay Estuary Program
880,2005,2,Environmental Studies,Interdisciplinary,STEM,Assistant Director,Tampa Bay Estuary Program
881,2009,1,Political Science,Social Sciences,Education,Teacher,Ministry of Education
881,2009,2,Environmental Studies,Interdisciplinary,Education,Teacher,Ministry of Education
882,2009,1,Political Science,Social Sciences,Government and Social Services,"Senior Manager, Business Development",One Acre Fund
882,2009,2,Environmental Studies,Interdisciplinary,Government and Social Services,"Senior Manager, Business Development",One Acre Fund
883,2002,1,Political Science,Social Sciences,Arts and Media,Marketing Coordinator,Sheshunoff Information Services
883,2002,2,Environmental Studies,Interdisciplinary,Arts and Media,Marketing Coordinator,Sheshunoff Information Services
884,2011,1,Political Science,Social Sciences,STEM,ORISE Fellow,Environmental Protection Agency (EPA)
884,2011,2,Environmental Studies,Interdisciplinary,STEM,ORISE Fellow,Environmental Protection Agency (EPA)
885,2005,1,Political Science,Social Sciences,Government and Social Services,Deputy Communications Director,Congress-Senator Mark Udall (D-CO)
885,2005,2,History,Social Sciences,Government and Social Services,Deputy Communications Director,Congress-Senator Mark Udall (D-CO)
886,2004,1,Political Science,Social Sciences,Education,Assistant Professor Political Science,Eckerd College
886,2004,2,History,Social Sciences,Education,Assistant Professor Political Science,Eckerd College
887,2013,1,Political Science,Social Sciences,Education,Student,Critical Language Scholarship
887,2013,2,International and Area Studies,Interdisciplinary,Education,Student,Critical Language Scholarship
888,2009,1,Political Science,Social Sciences,Government and Social Services,NA,IARD
888,2009,2,International and Area Studies,Interdisciplinary,Government and Social Services,NA,IARD
889,2013,1,Political Science,Social Sciences,Arts and Media,Program Coordinator,Voice of America
889,2013,2,International and Area Studies,Interdisciplinary,Arts and Media,Program Coordinator,Voice of America
889,2013,3,Spanish Language and Literature,Humanities,Arts and Media,Program Coordinator,Voice of America
890,2020,1,Political Science,Social Sciences,Health and Medicine,Latine COVID Outreach Coordinator,Multicultural Health Institute
890,2020,2,International and Area Studies,Interdisciplinary,Health and Medicine,Latine COVID Outreach Coordinator,Multicultural Health Institute
890,2020,3,Spanish Language and Literature,Humanities,Health and Medicine,Latine COVID Outreach Coordinator,Multicultural Health Institute
891,2002,1,Political Science,Social Sciences,Government and Social Services,Managing Attorney,KSD Law
891,2002,2,International and Area Studies,Interdisciplinary,Government and Social Services,Managing Attorney,KSD Law
892,2014,1,Political Science,Social Sciences,Government and Social Services,Health Education Volunteer,Peace Corps
892,2014,2,Religion,Humanities,Government and Social Services,Health Education Volunteer,Peace Corps
893,2011,1,Political Science,Social Sciences,Education,Administrative Assistant,South Asia Institute at Columbia University
893,2011,2,Anthropology,Social Sciences,Education,Administrative Assistant,South Asia Institute at Columbia University
894,2014,1,Political Science,Social Sciences,Government and Social Services,National Deputy Political Director,America Votes
894,2014,2,Economics,Social Sciences,Government and Social Services,National Deputy Political Director,America Votes
895,2004,1,Political Science,Social Sciences,Arts and Media,Tour Business Manager,Feld Entertainment Inc.
895,2004,2,Economics,Social Sciences,Arts and Media,Tour Business Manager,Feld Entertainment Inc.
896,2005,1,Political Science,Social Sciences,Health and Medicine,Chief Revenue Officer,VeeMed Inc.
896,2005,2,Economics,Social Sciences,Health and Medicine,Chief Revenue Officer,VeeMed Inc.
897,2014,1,Political Science,Social Sciences,Government and Social Services,Revenue Agent,WA State Dept of Labor and Industries
897,2014,2,Economics,Social Sciences,Government and Social Services,Revenue Agent,WA State Dept of Labor and Industries
898,2008,1,Political Science,Social Sciences,Education,Master of Arts Degree Candidate,Stanford University
898,2008,2,Economics,Social Sciences,Education,Master of Arts Degree Candidate,Stanford University
899,2011,1,Political Science,Social Sciences,Government and Social Services,Assistant,Florida House of Representatives
899,2011,2,Economics,Social Sciences,Government and Social Services,Assistant,Florida House of Representatives
900,2013,1,Political Science,Social Sciences,STEM,Project Manager,Epic
900,2013,2,Economics,Social Sciences,STEM,Project Manager,Epic
901,2007,1,Environmental Studies,Interdisciplinary,Government and Social Services,Mgr for Strategic Performance Mgmt,Pinellas County Governement
901,2007,2,Political Science,Social Sciences,Government and Social Services,Mgr for Strategic Performance Mgmt,Pinellas County Governement
902,2017,1,Political Science,Social Sciences,Government and Social Services,Regional Organizer,Planned Parenthood
902,2017,2,Gender Studies,Social Sciences,Government and Social Services,Regional Organizer,Planned Parenthood
903,2002,1,Political Science,Social Sciences,Government and Social Services,Attorney,Defender Association of Philadelphia
903,2002,2,Spanish Language and Culture,Humanities,Government and Social Services,Attorney,Defender Association of Philadelphia
904,2013,1,Political Science,Social Sciences,Government and Social Services,Project Assistant,Searcy Denney Law
904,2013,2,History,Social Sciences,Government and Social Services,Project Assistant,Searcy Denney Law
905,2006,1,Political Science,Social Sciences,Government and Social Services,Attorney,Stinson Morrison Hecker
905,2006,2,History,Social Sciences,Government and Social Services,Attorney,Stinson Morrison Hecker
906,2004,1,Political Science,Social Sciences,STEM,Founder,Caribu
906,2004,2,International and Area Studies,Interdisciplinary,STEM,Founder,Caribu
907,2003,1,Political Science,Social Sciences,Government and Social Services,Senior Program Officer,Millennium Challenge Corporation
907,2003,2,International and Area Studies,Interdisciplinary,Government and Social Services,Senior Program Officer,Millennium Challenge Corporation
908,2005,1,Political Science,Social Sciences,STEM,Data Scientist,Wayfair
908,2005,2,International and Area Studies,Interdisciplinary,STEM,Data Scientist,Wayfair
909,2008,1,Political Science,Social Sciences,STEM,Senior Data Scientist,Smart Data Solutions
909,2008,2,Mathematics,Natural Sciences,STEM,Senior Data Scientist,Smart Data Solutions
910,2007,1,Philosophy,Humanities,"Business, Finance, and Retail",Actuarial Analyst,Markel Insurance
910,2007,2,Political Science,Social Sciences,"Business, Finance, and Retail",Actuarial Analyst,Markel Insurance
911,2019,1,Public Policy,Interdisciplinary,Education,Graduate Assistant,Florida International University
911,2019,2,Political Science,Social Sciences,Education,Graduate Assistant,Florida International University
912,2009,1,Political Science,Social Sciences,Education,Teacher-bilingual education-6th Grade,New York City Teaching Fellows
912,2009,2,Spanish Language and Literature,Humanities,Education,Teacher-bilingual education-6th Grade,New York City Teaching Fellows
913,2002,1,Political Science,Social Sciences,Government and Social Services,Attorney,State of Florida
914,2003,1,Psychology,Social Sciences,Government and Social Services,Research Associate II,Education Development Center
915,2014,1,Psychology,Social Sciences,"Business, Finance, and Retail",Digital Brand Manager,Florida Blue
916,2007,1,Psychology,Social Sciences,Government and Social Services,Staff Psychologist,WJB Dorn VA Medical Center
917,2012,1,Psychology,Social Sciences,"Business, Finance, and Retail",Store Manager,Starbucks
918,2012,1,Psychology,Social Sciences,Health and Medicine,Screener,"Coastal Behavioral Health, INC."
919,2012,1,Psychology,Social Sciences,"Business, Finance, and Retail",Data Analyst,Home Depot
920,2012,1,Psychology,Social Sciences,Education,Postdoctoral Fellow,University of Michigan
921,2009,1,Psychology,Social Sciences,STEM,Human Factors Researcher,Research Collective
922,2010,1,Psychology,Social Sciences,Education,Development Skills teacher,Lincoln Elementary School
923,2012,1,Psychology,Social Sciences,"Business, Finance, and Retail",Service Associate,Le Macaron French Pastries
924,2005,1,Psychology,Social Sciences,STEM,Lead Designer,"iWin, Inc"
925,2008,1,Psychology,Social Sciences,Arts and Media,Assistant Editor,Lost Planet
926,2015,1,Psychology,Social Sciences,Arts and Media,Content Strategist,Thrive Media
927,2013,1,Psychology,Social Sciences,STEM,Senior Game Advisor,"Gamestop, Inc."
928,2003,1,Psychology,Social Sciences,Government and Social Services,Senior Attorney,Legal Advocates for Children and Youth
929,2016,1,Psychology,Social Sciences,Education,Religious School Teacher,Oak Park Temple
930,2011,1,Psychology,Social Sciences,Government and Social Services,Administrative Assistant,General Federation of Women's Clubs
931,2010,1,Psychology,Social Sciences,"Business, Finance, and Retail",JR. Broker Coordinator,Security National Mortgage Company
932,2014,1,Psychology,Social Sciences,Government and Social Services,Disposition Specialist II,Office of the Public Defender - 20th Judicial Circuit
933,2012,1,Psychology,Social Sciences,Education,Education Support Specialist,NewGate School
934,2013,1,Psychology,Social Sciences,Government and Social Services,Team leader,City Year Miami
935,2011,1,Psychology,Social Sciences,STEM,NA,"Donders Institute for Brain, Cognition and Behaviour"
936,2012,1,Psychology,Social Sciences,Health and Medicine,Unknown,Banfield Pet Hospital
937,2013,1,Psychology,Social Sciences,Education,Counselor,Excite All Stars
938,2016,1,Psychology,Social Sciences,STEM,Educator,SeaWorld
939,2012,1,Psychology,Social Sciences,"Business, Finance, and Retail",Marketing Director for start up company,Fem Rouge Magazine
940,2006,1,Psychology,Social Sciences,Government and Social Services,NA,America Scores Miami
941,2018,1,Psychology,Social Sciences,Education,Clinical Research Associate,University of South Florida
942,2002,1,Psychology,Social Sciences,Education,Ph.D Student / Exp. Psychology,Georgia Institute of Technology
943,2006,1,Psychology,Social Sciences,Education,Education Specialist,Berkeley Unified School District
944,2009,1,Psychology,Social Sciences,Government and Social Services,Paralegal,Hunton & Williams LLP
945,2012,1,Psychology,Social Sciences,STEM,Data Engineer,Urvin AI
946,2010,1,Psychology,Social Sciences,Education,Enrollment Services Coordinator,Antioch University Seattle
947,2010,1,Psychology,Social Sciences,Education,Ph.D. Candidate,Washington University in St. Louis
948,2010,1,Psychology,Social Sciences,Health and Medicine,Research Assistant,The Miriam Hospital
949,2008,1,Psychology,Social Sciences,Health and Medicine,Tobacco Program Manager,Florida Department of Health - Sarasota Co
950,2009,1,Psychology,Social Sciences,Health and Medicine,Research Study Assistant,Memorial Sloan Kettering
951,2004,1,Psychology,Social Sciences,Education,"Math Teacher, Dept. Head",Park East High School
952,2005,1,Psychology,Social Sciences,Government and Social Services,Social Worker,Coastal Counseling
953,2013,1,Psychology,Social Sciences,Government and Social Services,Volunteer,Peace Corps
954,2019,1,Psychology,Social Sciences,Government and Social Services,Data Analyst,Law360
955,2012,1,Psychology,Social Sciences,Government and Social Services,Supportive Housing Program Mgr,Community Assisted & Supported Living Inc
956,2007,1,Psychology,Social Sciences,Education,Adjunct Professor,Linn-Benton Community College
957,2018,1,Psychology,Social Sciences,Government and Social Services,Legal Assistant,Law Office of Robert H. Mohr
958,2004,1,Psychology,Social Sciences,"Business, Finance, and Retail","Sr. Mgr., Social Impact, Global Partnershipss","Marsh & McLennan Companies, Inc."
959,2004,1,Psychology,Social Sciences,Health and Medicine,Mental Health Technician,Univ. of Florida
960,2008,1,Psychology,Social Sciences,Education,Associate Consultant,Ellucian
961,2004,1,Psychology,Social Sciences,Health and Medicine,Bilingual Web Content Specialist,ALSAC/St Jude Children's Research Hospitl
962,2011,1,Psychology,Social Sciences,"Business, Finance, and Retail",Customer Specialist,Best Buy
963,2004,1,Psychology,Social Sciences,Education,Teaching Assistant,Stephen F. Austin State University
964,2016,1,Psychology,Social Sciences,Education,Admissions Coordinator,New College of Florida
965,2014,1,Psychology,Social Sciences,Education,Research Assistant,Universitat Pompeu Fabra
966,2017,1,Psychology,Social Sciences,"Business, Finance, and Retail",Co-Founder,Tastefulbellys
967,2013,1,Psychology,Social Sciences,Other,NA,Unemployed
968,2018,1,Psychology,Social Sciences,STEM,Solution Analyst,Deloitte
969,2003,1,Psychology,Social Sciences,Education,Associate Registrar,Ashworth University
970,2013,1,Psychology,Social Sciences,Arts and Media,Catering Manager,The Smile
971,2004,1,Psychology,Social Sciences,STEM,Assistant Professor,University of Florida
972,2003,1,Psychology,Social Sciences,"Business, Finance, and Retail",Product Designer,Ghirardelli Chocolate Company
973,2003,1,Psychology,Social Sciences,Government and Social Services,Assistant State Attorney,Office of the State Attorney
974,2008,1,Psychology,Social Sciences,Health and Medicine,Director of Whole Health Services,Bay Pines Healthcare System
975,2011,1,Psychology,Social Sciences,Health and Medicine,Senior Account Management Specialist,Blue Cross Blue Shield Global
976,2012,1,Psychology,Social Sciences,Government and Social Services,Research Associate II,Education Development Center
977,2020,1,Psychology,Social Sciences,Health and Medicine,Activities Assistant,The Palace Group
978,2015,1,Psychology,Social Sciences,Government and Social Services,Family Advocate,"Children First, Inc."
979,2002,1,Psychology,Social Sciences,Education,Teacher,OCPS
980,2007,1,Psychology,Social Sciences,Government and Social Services,Law Student,Western State University
981,2012,1,Psychology,Social Sciences,Arts and Media,Communications Coordinator- VISTA,Catalyst Miami
982,2004,1,Psychology,Social Sciences,Education,Research Project Manager,University of North Carolina
