ID,GRAD_YEAR,ACADEMIC_PROGRAM_1,DIVISION_1,ACADEMIC_PROGRAM_2,DIVISION_2,ACADEMIC_PROGRAM_3,DIVISION_3,Org_Name,Position,Industry,Original_Industry
819,2008,Political Science,Social Sciences,Philosophy,Humanities,,,University of Wisconsin-Madison Hospital and Clinics,"Clinical Fellow, Speech-Language Pathologist",Health & Fitness,Health & Fitness
820,2005,Humanities,Humanities,Philosophy,Humanities,,,Harvard Divinity School,Associate Professor of Theology,Education,Education
821,2013,Physics,Natural Sciences,,,,,Shenzhen Education Bureau,Foreign Language Teacher,Education,Education
822,2006,Physics,Natural Sciences,,,,,Synopsys,Application Engineer,Engineering,Engineering
823,2007,Physics,Natural Sciences,,,,,Old Dominion University,Assistant Professor,Education,Education
824,2010,Physics,Natural Sciences,,,,,The University of Texas at Austin,Graduate Research Assistant,Education,Education
825,2002,Physics,Natural Sciences,,,,,methownet.com,Network Specialist and Programmer,Software,Software
826,2010,Physics,Natural Sciences,,,,,NASA,Mission Architect,Architecture,
827,2013,Physics,Natural Sciences,,,,,University of Washington,Teaching Assistant / Research assistant,Education,Education
828,2007,Physics,Natural Sciences,,,,,Cornell University,Research Associate,Education,Education
829,2015,Physics,Natural Sciences,,,,,Delivery Hero Germany,Software Engineer,Information Technology,Information Technology
830,2006,Physics,Natural Sciences,,,,,Argelander Institut fuer Astronomie,PhD Candidate,Education,Education
831,2008,Physics,Natural Sciences,,,,,Google,Systems Engineer,Information Technology,Information Technology
832,2009,Physics,Natural Sciences,Chemistry,Natural Sciences,,,Collaborative Drug Discovery,,Software,Software
833,2004,Physics,Natural Sciences,Mathematics,Natural Sciences,,,Great Bay Community College,Professor,Education,Education
834,2009,Political Science,Social Sciences,,,,,Sinapi Law Associates,Associate,Law,
835,2003,Political Science,Social Sciences,,,,,West Virginia Universtiy,Assistant Professor of Political Science,Education,Education
836,2018,Political Science,Social Sciences,,,,,Husch Blackwell LLP,Client Development Strategist,Law,Law
837,2011,Political Science,Social Sciences,,,,,Gizmodo,Reporter,Media,Media
838,2007,Political Science,Social Sciences,,,,,Ruane Attorneys at Law,Attorney,Law,Law
839,2010,Political Science,Social Sciences,,,,,Bonefish Grill,server,Food Service,Food Service
840,2020,Political Science,Social Sciences,,,,,City Year,City Year Americorps Member,Non Profit,
841,2003,Political Science,Social Sciences,,,,,HSBC Private Banking,Senior Wealth Planner,Financial Services,Financial Services
842,2019,Political Science,Social Sciences,,,,,Healthy Gamer,Coach,Healthcare Services,
843,2009,Political Science,Social Sciences,,,,,Vinayaka Hospitality,Regional Manager,Hospitality,Hospitality
844,2002,Political Science,Social Sciences,,,,,US Agency for International Development,Contracting Officer,Government,Government
845,2016,Political Science,Social Sciences,,,,,Barnes Walker,Associate Attorney,Law,Law
846,2004,Political Science,Social Sciences,,,,,U.S. General Services Administration,Business & Industry Specialist,Government,Government
847,2008,Political Science,Social Sciences,,,,,Holland & Knight,Public Affairs Advisor,Law,Law
848,2003,Political Science,Social Sciences,,,,,University of Maine,Assistant Professor - Political Science,Education,Education
849,2003,Political Science,Social Sciences,,,,,Realize Bradenton,Community Engagement Coordinator,Non Profit,Non Profit
850,2006,Political Science,Social Sciences,,,,,McCulloch Law PA,Attorney,Law,Law
851,2014,Political Science,Social Sciences,,,,,Authority Marketing Films,Project Producer and Client Liason,Media,Media
852,2015,Political Science,Social Sciences,,,,,Rosemary Birthing Home,,Medical,Medical
853,2012,Political Science,Social Sciences,,,,,Michigan Supreme Court,Judicial Law Clerk,Law,Law
854,2003,Political Science,Social Sciences,,,,,Buchanan Angeli Altschul & Sullivan LLP,Paralegal,Law,Law
855,2009,Political Science,Social Sciences,,,,,Broward County Commission,Chief of Staff,Government,
856,2007,Political Science,Social Sciences,,,,,Bloomberg BNA,,Law,Law
857,2020,Political Science,Social Sciences,,,,,All Faiths Food Bank,Agency Relations Coordinator,Non Profit,Non Profit
858,2003,Political Science,Social Sciences,,,,,Johnson Controls,System Representative,Information Technology,Information Technology
859,2012,Political Science,Social Sciences,,,,,Winston & Strawn LLP,Associate,Law,
860,2007,Political Science,Social Sciences,,,,,West Virginia University School of Public Health,Assistant Program Director,Education,Education
861,2013,Political Science,Social Sciences,,,,,Florida House of Representatives,Legislative Research Assistant,Government,Government
862,2016,Political Science,Social Sciences,,,,,Rollins College,Assoc. Director of Volunteer & Class Engagement,Education,
863,2008,Political Science,Social Sciences,,,,,Information Staffing Services Inc (State Voices),Data & Target Manager,Human Resources,Human Resources
864,2004,Political Science,Social Sciences,,,,,George Washington University,,Education,
865,2003,Political Science,Social Sciences,,,,,Independent Weekly,Classifieds Account Executive,Media,
866,2004,Political Science,Social Sciences,,,,,McBreen & Nowack PA,Attorney,Law,Law
867,2009,Political Science,Social Sciences,,,,,Gina DeCrescenzo P.C.,Attorney,Law,Law
868,2002,Political Science,Social Sciences,,,,,Gunster,Attorney in Immigration Practice Group,Attorney,Attorney
869,2005,Political Science,Social Sciences,,,,,"Intermex Wire Transfer, LLC",Treasury Operations Analyst,Financial Services,
870,2004,Political Science,Social Sciences,,,,,Florida Dept. of Environmental Protection,Program Administrator,Government,Government
871,2004,Political Science,Social Sciences,,,,,The City of New York-Department of City Planning,Director of Governmental Affairs,City/County/State,City/County/State
872,2018,Political Science,Social Sciences,,,,,IMG Academy,Social Studies Teacher,Education,
873,2004,Political Science,Social Sciences,,,,,U.S. General Services Administration,Director of Innovation,Government,Government
874,2016,Political Science,Social Sciences,,,,,Benchmark Mercant Solutions,Client Relations Manager,Financial Services,
875,2004,Political Science,Social Sciences,,,,,Hirschen Singer & Epstein LLP,Partner,Law,
876,2020,Political Science,Social Sciences,Economics,Social Sciences,,,"H New Media, LLC",Legal Assistant,Law,Law
877,2009,Political Science,Social Sciences,Economics,Social Sciences,,,University of Virginia,PhD Candidate & Teaching Assistant,Education,Education
878,2003,Political Science,Social Sciences,Economics,Social Sciences,,,Sylvia Manzanero Law Firm PLLC,Attorney,Law,Law
879,2004,Political Science,Social Sciences,Economics,Social Sciences,,,"Cibank, KBC Group",Head of Organization Division,Banking,Banking
880,2005,Political Science,Social Sciences,Environmental Studies,Interdisciplinary,,,Tampa Bay Estuary Program,Assistant Director,Environmental,Environmental
881,2009,Political Science,Social Sciences,Environmental Studies,Interdisciplinary,,,Ministry of Education,Teacher,Education,Education
882,2009,Political Science,Social Sciences,Environmental Studies,Interdisciplinary,,,One Acre Fund,"Senior Manager, Business Development",Non Profit,
883,2002,Political Science,Social Sciences,Environmental Studies,Interdisciplinary,,,Sheshunoff Information Services,Marketing Coordinator,Publishing,Publishing
884,2011,Political Science,Social Sciences,Environmental Studies,Interdisciplinary,,,Environmental Protection Agency (EPA),ORISE Fellow,Environmental,Environmental
885,2005,Political Science,Social Sciences,History,Social Sciences,,,Congress-Senator Mark Udall (D-CO),Deputy Communications Director,Government,Government
886,2004,Political Science,Social Sciences,History,Social Sciences,,,Eckerd College,Assistant Professor Political Science,Education,Education
887,2013,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,,,Critical Language Scholarship,Student,Education,Education
888,2009,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,,,IARD,,Non Profit,Non Profit
889,2013,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,Spanish Language and Literature,Humanities,Voice of America,Program Coordinator,Media,
890,2020,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,Spanish Language and Literature,Humanities,Multicultural Health Institute,Latine COVID Outreach Coordinator,Public Health,Public Health
891,2002,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,,,KSD Law,Managing Attorney,Law,Law
892,2014,Political Science,Social Sciences,Religion,Humanities,,,Peace Corps,Health Education Volunteer,Non Profit,Non Profit
893,2011,Political Science,Social Sciences,Anthropology,Social Sciences,,,South Asia Institute at Columbia University,Administrative Assistant,Education,Education
894,2014,Political Science,Social Sciences,Economics,Social Sciences,,,America Votes,National Deputy Political Director,Government,
895,2004,Political Science,Social Sciences,Economics,Social Sciences,,,Feld Entertainment Inc.,Tour Business Manager,Entertainment,Entertainment
896,2005,Political Science,Social Sciences,Economics,Social Sciences,,,VeeMed Inc.,Chief Revenue Officer,Medical,
897,2014,Political Science,Social Sciences,Economics,Social Sciences,,,WA State Dept of Labor and Industries,Revenue Agent,Government,Government
898,2008,Political Science,Social Sciences,Economics,Social Sciences,,,Stanford University,Master of Arts Degree Candidate,Education,Education
899,2011,Political Science,Social Sciences,Economics,Social Sciences,,,Florida House of Representatives,Assistant,Government,Government
900,2013,Political Science,Social Sciences,Economics,Social Sciences,,,Epic,Project Manager,Software,Software
901,2007,Environmental Studies,Interdisciplinary,Political Science,Social Sciences,,,Pinellas County Governement,Mgr for Strategic Performance Mgmt,Government,Government
902,2017,Political Science,Social Sciences,Gender Studies,Social Sciences,,,Planned Parenthood,Regional Organizer,Non Profit,Non Profit
903,2002,Political Science,Social Sciences,Spanish Language and Culture,Humanities,,,Defender Association of Philadelphia,Attorney,Law,Law
904,2013,Political Science,Social Sciences,History,Social Sciences,,,Searcy Denney Law,Project Assistant,Law,Law
905,2006,Political Science,Social Sciences,History,Social Sciences,,,Stinson Morrison Hecker,Attorney,Law,Law
906,2004,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,,,Caribu,Founder,Software,Software
907,2003,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,,,Millennium Challenge Corporation,Senior Program Officer,Non Profit,Non Profit
908,2005,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,,,Wayfair,Data Scientist,Data Science,Data Science
909,2008,Political Science,Social Sciences,Mathematics,Natural Sciences,,,Smart Data Solutions,Senior Data Scientist,Technology,Technology
910,2007,Philosophy,Humanities,Political Science,Social Sciences,,,Markel Insurance,Actuarial Analyst,Insurance,Insurance
911,2019,Public Policy,Interdisciplinary,Political Science,Social Sciences,,,Florida International University,Graduate Assistant,Education,
912,2009,Political Science,Social Sciences,Spanish Language and Literature,Humanities,,,New York City Teaching Fellows,Teacher-bilingual education-6th Grade,Education,Education
913,2002,Political Science,Social Sciences,,,,,State of Florida,Attorney,Law,Law
914,2003,Psychology,Social Sciences,,,,,Education Development Center,Research Associate II,Non Profit,Non Profit
915,2014,Psychology,Social Sciences,,,,,Florida Blue,Digital Brand Manager,Marketing,Marketing
916,2007,Psychology,Social Sciences,,,,,WJB Dorn VA Medical Center,Staff Psychologist,Government,Government
917,2012,Psychology,Social Sciences,,,,,Starbucks,Store Manager,Food and Lodging,Food and Lodging
918,2012,Psychology,Social Sciences,,,,,"Coastal Behavioral Health, INC.",Screener,Healthcare,Healthcare
919,2012,Psychology,Social Sciences,,,,,Home Depot,Data Analyst,Retail,
920,2012,Psychology,Social Sciences,,,,,University of Michigan,Postdoctoral Fellow,Education,
921,2009,Psychology,Social Sciences,,,,,Research Collective,Human Factors Researcher,Research,
922,2010,Psychology,Social Sciences,,,,,Lincoln Elementary School,Development Skills teacher,Education,Education
923,2012,Psychology,Social Sciences,,,,,Le Macaron French Pastries,Service Associate,Food Service,Food Service
924,2005,Psychology,Social Sciences,,,,,"iWin, Inc",Lead Designer,Software Design,Software Design
925,2008,Psychology,Social Sciences,,,,,Lost Planet,Assistant Editor,Film,Film
926,2015,Psychology,Social Sciences,,,,,Thrive Media,Content Strategist,Media,Media
927,2013,Psychology,Social Sciences,,,,,"Gamestop, Inc.",Senior Game Advisor,Technology,Technology
928,2003,Psychology,Social Sciences,,,,,Legal Advocates for Children and Youth,Senior Attorney,Non Profit,Non Profit
929,2016,Psychology,Social Sciences,,,,,Oak Park Temple,Religious School Teacher,Education,Education
930,2011,Psychology,Social Sciences,,,,,General Federation of Women's Clubs,Administrative Assistant,Community Services,Community Services
931,2010,Psychology,Social Sciences,,,,,Security National Mortgage Company,JR. Broker Coordinator,Financial Services,Financial Services
932,2014,Psychology,Social Sciences,,,,,Office of the Public Defender - 20th Judicial Circuit,Disposition Specialist II,Law,
933,2012,Psychology,Social Sciences,,,,,NewGate School,Education Support Specialist,Education,
934,2013,Psychology,Social Sciences,,,,,City Year Miami,Team leader,Non Profit,Non Profit
935,2011,Psychology,Social Sciences,,,,,"Donders Institute for Brain, Cognition and Behaviour",,Research,Research
936,2012,Psychology,Social Sciences,,,,,Banfield Pet Hospital,Unknown,Medical,Medical
937,2013,Psychology,Social Sciences,,,,,Excite All Stars,Counselor,Education,Education
938,2016,Psychology,Social Sciences,,,,,SeaWorld,Educator,Marine,Marine
939,2012,Psychology,Social Sciences,,,,,Fem Rouge Magazine,Marketing Director for start up company,Marketing,Marketing
940,2006,Psychology,Social Sciences,,,,,America Scores Miami,,Nonprofit,Nonprofit
941,2018,Psychology,Social Sciences,,,,,University of South Florida,Clinical Research Associate,Higher education,Higher education
942,2002,Psychology,Social Sciences,,,,,Georgia Institute of Technology,Ph.D Student / Exp. Psychology,Education,Education
943,2006,Psychology,Social Sciences,,,,,Berkeley Unified School District,Education Specialist,Education,Education
944,2009,Psychology,Social Sciences,,,,,Hunton & Williams LLP,Paralegal,Law,Law
945,2012,Psychology,Social Sciences,,,,,Urvin AI,Data Engineer,Technology,
946,2010,Psychology,Social Sciences,,,,,Antioch University Seattle,Enrollment Services Coordinator,Education,Education
947,2010,Psychology,Social Sciences,,,,,Washington University in St. Louis,Ph.D. Candidate,Education,Education
948,2010,Psychology,Social Sciences,,,,,The Miriam Hospital,Research Assistant,Healthcare,Healthcare
949,2008,Psychology,Social Sciences,,,,,Florida Department of Health - Sarasota Co,Tobacco Program Manager,Healthcare,Healthcare
950,2009,Psychology,Social Sciences,,,,,Memorial Sloan Kettering,Research Study Assistant,Medical,Medical
951,2004,Psychology,Social Sciences,,,,,Park East High School,"Math Teacher, Dept. Head",Education,Education
952,2005,Psychology,Social Sciences,,,,,Coastal Counseling,Social Worker,Community Services,Community Services
953,2013,Psychology,Social Sciences,,,,,Peace Corps,Volunteer,Non Profit,Non Profit
954,2019,Psychology,Social Sciences,,,,,Law360,Data Analyst,Law,
955,2012,Psychology,Social Sciences,,,,,Community Assisted & Supported Living Inc,Supportive Housing Program Mgr,Non Profit,Non Profit
956,2007,Psychology,Social Sciences,,,,,Linn-Benton Community College,Adjunct Professor,Education,Education
957,2018,Psychology,Social Sciences,,,,,Law Office of Robert H. Mohr,Legal Assistant,Law,Law
958,2004,Psychology,Social Sciences,,,,,"Marsh & McLennan Companies, Inc.","Sr. Mgr., Social Impact, Global Partnershipss",Business Consulting,
959,2004,Psychology,Social Sciences,,,,,Univ. of Florida,Mental Health Technician,Healthcare Services,Healthcare Services
960,2008,Psychology,Social Sciences,,,,,Ellucian,Associate Consultant,Education,Education
961,2004,Psychology,Social Sciences,,,,,ALSAC/St Jude Children's Research Hospitl,Bilingual Web Content Specialist,Healthcare,Healthcare
962,2011,Psychology,Social Sciences,,,,,Best Buy,Customer Specialist,Retail,Retail
963,2004,Psychology,Social Sciences,,,,,Stephen F. Austin State University,Teaching Assistant,Education,Education
964,2016,Psychology,Social Sciences,,,,,New College of Florida,Admissions Coordinator,Education,Education
965,2014,Psychology,Social Sciences,,,,,Universitat Pompeu Fabra,Research Assistant,Education,Education
966,2017,Psychology,Social Sciences,,,,,Tastefulbellys,Co-Founder,Food,
967,2013,Psychology,Social Sciences,,,,,Unemployed,,Unemployed,
968,2018,Psychology,Social Sciences,,,,,Deloitte,Solution Analyst,Technology,Technology
969,2003,Psychology,Social Sciences,,,,,Ashworth University,Associate Registrar,Education,Education
970,2013,Psychology,Social Sciences,,,,,The Smile,Catering Manager,Photography,Photography
971,2004,Psychology,Social Sciences,,,,,University of Florida,Assistant Professor,Research,Research
972,2003,Psychology,Social Sciences,,,,,Ghirardelli Chocolate Company,Product Designer,Food and Lodging,Food and Lodging
973,2003,Psychology,Social Sciences,,,,,Office of the State Attorney,Assistant State Attorney,Law,Law
974,2008,Psychology,Social Sciences,,,,,Bay Pines Healthcare System,Director of Whole Health Services,Medical,Medical
975,2011,Psychology,Social Sciences,,,,,Blue Cross Blue Shield Global,Senior Account Management Specialist,Healthcare,Healthcare
976,2012,Psychology,Social Sciences,,,,,Education Development Center,Research Associate II,Non Profit,
977,2020,Psychology,Social Sciences,,,,,The Palace Group,Activities Assistant,Healthcare,
978,2015,Psychology,Social Sciences,,,,,"Children First, Inc.",Family Advocate,Non Profit,Non Profit
979,2002,Psychology,Social Sciences,,,,,OCPS,Teacher,Education,Education
980,2007,Psychology,Social Sciences,,,,,Western State University,Law Student,Law,Law
981,2012,Psychology,Social Sciences,,,,,Catalyst Miami,Communications Coordinator- VISTA,Journalism,Journalism
982,2004,Psychology,Social Sciences,,,,,University of North Carolina,Research Project Manager,Education,Education
983,2012,Psychology,Social Sciences,,,,,University of Arizona,PhD Candidate,Education,Education
984,2004,Psychology,Social Sciences,,,,,Mattie Rhodes Center,Community Services Specialist,Non Profit,Non Profit
985,2003,Psychology,Social Sciences,,,,,Unknown,,Education,Education
986,2004,Psychology,Social Sciences,,,,,unknown,,Unknown,
987,2015,Psychology,Social Sciences,,,,,Palm Shores Behavioral Center,Mental health Technician,Health & Fitness,Health & Fitness
988,2004,Psychology,Social Sciences,,,,,Country Doctor Clinic,HIV Medical Case Manager,Healthcare,Healthcare
989,2013,Psychology,Social Sciences,,,,,Operation Par,Counselor,Healthcare Services,
990,2009,Psychology,Social Sciences,,,,,Galileo Learning,Camp Director,Education,Education
991,2015,Psychology,Social Sciences,,,,,"Maglio, Christopher & Toale",Research Assistant,Law,Law
992,2002,Psychology,Social Sciences,,,,,The Children's Program,Licensed Psychologist,Education,Education
993,2005,Psychology,Social Sciences,,,,,"University of Utah, Psychology Department",Assistant Professor,Education,Education
994,2011,Psychology,Social Sciences,,,,,Blackboard,Director of Analytics,Information Technology,Information Technology
995,2003,Psychology,Social Sciences,,,,,Florida Atlantic University,Writing Consultant,Education,Education
996,2008,Psychology,Social Sciences,,,,,"Gassman, Crotty & Denicolo",Law Clerk,Law,Law
997,2003,Psychology,Social Sciences,,,,,East Tennessee State University Department of Social Work,Assistant Professor,Education,Education
998,2007,Psychology,Social Sciences,,,,,Law office of John B. Baez,Attorney,Law,Law
999,2002,Psychology,Social Sciences,,,,,Bleuler Psychotherapy Center,Psychotherapist,Healthcare Services,Healthcare Services
1000,2006,Psychology,Social Sciences,,,,,LA Department of Aging,Americorps Volunteer,City/County/State,City/County/State
1001,2002,Psychology,Social Sciences,,,,,Epic,Software Quality Assurance,Software,Software
1002,2008,Psychology,Social Sciences,,,,,Jewish Family Services,Case Manager,Non Profit,Non Profit
1003,2006,Psychology,Social Sciences,,,,,"Purrfect Portal, Inc.",Founder,Retail,
1004,2002,Psychology,Social Sciences,,,,,The Nielsen Company,Research Analyst,Research,Research
1005,2002,Psychology,Social Sciences,,,,,University of Virginia,Assistant Professor,Education,Education
1006,2006,Psychology,Social Sciences,,,,,Art & Science Group,Graduate Student,Non-profit consulting,Non-profit consulting
1007,2002,Psychology,Social Sciences,,,,,ATCMHMR,Counselor,Healthcare Services,Healthcare Services
1008,2004,Psychology,Social Sciences,,,,,RTI International,Data Scientist,Data Science,Data Science
1009,2002,Psychology,Social Sciences,,,,,Walmart,Night Stocker,Retail,Retail
1010,2005,Psychology,Social Sciences,,,,,University of South Alabama,Resident Physician,Healthcare,Healthcare
1011,2002,Psychology,Social Sciences,Environmental Studies,Interdisciplinary,,,Environmental Protection Agency,Presidential Management Fellow,Government,Government
1012,2013,Psychology,Social Sciences,Philosophy,Humanities,,,"Student Business Services Co-Op of Sarasota, LLC",Transcriptionist,Services,
1013,2020,Political Science,Social Sciences,Psychology,Social Sciences,,,Northwestern University,Graduate Research Assistant,Education,
1014,2010,Anthropology,Social Sciences,Psychology,Social Sciences,,,Transverse Myeletis Association,Associate Dir of Research,Non Profit,Non Profit
1015,2020,Psychology,Social Sciences,Applied Mathematics,Natural Sciences,,,Energize Dance Studio,Owner/Director,Entertainment,
1016,2015,Art,Humanities,Psychology,Social Sciences,,,New College Child Center,Teacher,Education / Training,Education / Training
1017,2012,Art,Humanities,Psychology,Social Sciences,,,Jewish Child and Family Services,Teaching Assistant,Psychotherapy,Psychotherapy
1018,2006,Psychology,Social Sciences,Gender Studies,Social Sciences,,,Auburn School District,Behavior Intervention Specialist,Education,Education
1019,2012,Psychology,Social Sciences,Gender Studies,Social Sciences,,,William G. and Marie Selby Foundation,Scholarships/Special Project Mgr,Non Profit,Non Profit
1020,2014,Psychology,Social Sciences,Gender Studies,Social Sciences,,,Planned Parenthood,Reproductive Health Assistant,Non Profit,Non Profit
1021,2013,Psychology,Social Sciences,Gender Studies,Social Sciences,,,Generation SERVE,Marketing Coordinator,Marketing,Marketing
1022,2014,Psychology,Social Sciences,Gender Studies,Social Sciences,,,New College of Florida,Compliance Officer & Deputy Title IX Coordinator,Education,
1023,2005,Psychology,Social Sciences,History,Social Sciences,,,Unknown,,Government,Government
1024,2008,Psychology,Social Sciences,History,Social Sciences,,,University of Maryland,Doctoral Student in Social Psychology,Education,Education
1025,2008,Marine Biology,Natural Sciences,Psychology,Social Sciences,,,El Paso Zoo,Zoo Area Supervisor,Museums and Institutions,
1026,2016,Psychology,Social Sciences,Music,Humanities,,,Charlotte County Public Schools,Substitute Teacher,Education,Education
1027,2008,Psychology,Social Sciences,Philosophy,Humanities,,,National Labor Relations Board,,Government,Government
1028,2005,Psychology,Social Sciences,Russian Language and Literature,Humanities,,,Johns Hopkins University,Program Coordinator,Education,Education
1029,2012,Spanish Language and Literature,Humanities,Psychology,Social Sciences,,,DbMedX,Quality Engineer,Medical Equipment,Medical Equipment
1030,2006,Public Policy,Interdisciplinary,,,,,"Ropes & Gray, LLP",Summer Associate,Law,Law
1031,2014,Public Policy,Interdisciplinary,,,,,"SailFuture, Inc",Director,Non Profit,Non Profit
1032,2003,Public Policy,Interdisciplinary,,,,,Department of Defense,Financial Analyst,Government,Government
1033,2002,Economics,Social Sciences,Public Policy,Interdisciplinary,,,"Highmark, Inc.",Medical Economics Consultant,Consulting,Consulting
1034,2020,Economics,Social Sciences,,,,,International Monetary Fund,"Research Assistant, Middle East & Central Asia Dep",Research,
1035,2011,Humanities,Humanities,,,,,SRQ Magazine,Staff Photographer,Journalism,Journalism
1036,2011,Humanities,Humanities,,,,,The Lawrence J. Schoenberg Database of Manuscripts,Senior Researcher,Research,Research
1037,2013,Humanities,Humanities,,,,,New College of Florida,VISTA Volunteer Coordinator,Education,Education
1038,2018,Humanities,Humanities,,,,,First Church Shelter,Health and Safety Worker (part-time),Nonprofit,Nonprofit
1039,2019,Humanities,Humanities,,,,,"YMCA of Easley, Pickens & Powdersville",Afterschool Care Site Coordinator,Non Profit,Non Profit
1040,2008,Humanities,Humanities,,,,,Camden Coalition of Healthcare Providers,Senior Communications Writer,Healthcare,Healthcare
1041,2011,Humanities,Humanities,,,,,Appalachian Mountain Community Health Center,Physician Assistant,Healthcare,Healthcare
1042,2005,Humanities,Humanities,,,,,Unknown,Librarian,Library,
1043,2010,Humanities,Humanities,,,,,North American Teaching and Cultural Assistant Program,Teaching Assistant,Education,Education
1044,2014,Humanities,Humanities,,,,,Academy of Precision Learning,ABA Therapist,Medical,Medical
1045,2008,Humanities,Humanities,,,,,"General Services Administration, Office of Regional Counsel",,Government,Government
1046,2003,Humanities,Humanities,,,,,MAPS,,Medical,
1047,2006,Humanities,Humanities,,,,,Erica Sirotich Illustration,Illustrator,Arts,Arts
1048,2009,Humanities,Humanities,,,,,Creative Pinellas,Administrative & Marketing Coordinator,Non Profit,Non Profit
1049,2019,Humanities,Humanities,,,,,Global Advisor Group,Client Service Associate,Consulting,
1050,2008,Humanities,Humanities,,,,,Capitol Area Immigrant Rights Coalition,Avodah/Jewish Service Corps Fellow,Nonprofit,Nonprofit
1051,2002,Humanities,Humanities,,,,,ICF International,Senior Associate,Public Health,Public Health
1052,2006,Humanities,Humanities,,,,,Georgetown Law School,Student,Law,Law
1053,2006,Humanities,Humanities,,,,,New College of Florida,AV Specialist,Education,
1054,2012,Humanities,Humanities,,,,,6th Judicial Circuit,Assistant State Attorney,Law,Law
1055,2003,Humanities,Humanities,,,,,Vietnamese American Vocational Training College,Dean of Academic & Student Affairs,Education,Education
1056,2008,Humanities,Humanities,,,,,USF College of Marine Science,Assistant Director for Academic Affairs,Education,Education
1057,2018,Humanities,Humanities,,,,,"American Documentary, Inc.",Digital Production Coordinator,Entertainment,
1058,2009,Humanities,Humanities,,,,,Piedmont Restaurant,Cook,Food Service,Food Service
1059,2013,Humanities,Humanities,Chinese Language and Culture,Humanities,,,Walgreens,Sales Clerk,Retail,Retail
1060,2016,Gender Studies,Social Sciences,Religion,Humanities,,,Private,Nanny,Services,
1061,2003,Gender Studies,Social Sciences,Religion,Humanities,,,Yoga Educator Academy,Director,Health & Fitness,Health & Fitness
1062,2015,Humanities,Humanities,Philosophy,Humanities,,,Duke TiP / Rice University,Resident Counselor,Education,Education
1063,2012,Humanities,Humanities,Political Science,Social Sciences,,,United Healthcare,Sr. Capability Manager,Insurance,Insurance
1064,2015,Humanities,Humanities,Psychology,Social Sciences,,,Temple Sinai Religious School,Hebrew instructor,Religion,Religion
1065,2019,Humanities,Humanities,Spanish Language and Literature,Humanities,,,Unknown,,Unknown,
1066,2007,Russian Language and Literature,Humanities,,,,,Collier County Public Schools- Golden Gate High School,Language Arts/ AP Literature Teacher,Education,Education
1067,2017,Russian Language and Literature,Humanities,Philosophy,Humanities,,,Wells Fargo,Quality Assurance Team Lead,Financial Services,Financial Services
1068,2002,Social Sciences,Social Sciences,,,,,Unknown,Preschool Teacher,Education,Education
1069,2005,Social Sciences,Social Sciences,,,,,University of TX at Austin,Graduate Program Coordinator,Education,Education
1070,2014,Social Sciences,Social Sciences,,,,,Peace Corps Macedonia,,Non Profit,
1071,2016,Social Sciences,Social Sciences,,,,,Ritz Carlton,Front Desk Agent,Food and Lodging,
1072,2005,Social Sciences,Social Sciences,,,,,Law Office of Brian R. Claeys,Attorney,Law,Law
1073,2006,Social Sciences,Social Sciences,,,,,Unknown,Producer,Media,
1074,2002,Social Sciences,Social Sciences,,,,,Street Roots Newspaper,Reporter,Media,Media
1075,2002,Social Sciences,Social Sciences,,,,,NY Board of Education,Spec. Ed Teacher,Education,Education
1076,2004,Social Sciences,Social Sciences,,,,,unknown,"Acupuncturist, naturopath",Healthcare Services,Healthcare Services
1077,2013,Social Sciences,Social Sciences,,,,,Meridian Behavioral Healthcare,Access Center Team Lead,Healthcare,Healthcare
1078,2013,Social Sciences,Social Sciences,,,,,JET Program,ALT,Education,Education
1079,2008,Social Sciences,Social Sciences,,,,,City of Somerville,Lead Program Manager,City/County/State,City/County/State
1080,2020,Social Sciences,Social Sciences,,,,,DLE Court Reporters,,Law,
1081,2009,Social Sciences,Social Sciences,,,,,CA State Department of Finance,Budget Analyst,Government,Government
1082,2016,Social Sciences,Social Sciences,,,,,New College of Florida,Assistant Director of Student Success,Education,
1083,2010,Social Sciences,Social Sciences,Gender Studies,Social Sciences,,,Florida State University,Law Student,Education,Education
1084,2011,Sociology,Social Sciences,,,,,Longhorn Steakhouse,Host,Food Service,Food Service
1085,2010,Sociology,Social Sciences,,,,,"University of California, Merced",Teaching Assistant,Education,Education
1086,2006,Sociology,Social Sciences,,,,,Oswego County OB-GYN,Certified Nurse-Midwife,Healthcare,Healthcare
1087,2010,Sociology,Social Sciences,,,,,Geoffrey Vitiello Design,Freelance Designer,Arts,Arts
1088,2004,Sociology,Social Sciences,,,,,Unknown,Registrar,Unknown,
1089,2004,Sociology,Social Sciences,,,,,Jade Community Acupuncture,Licensed Acupuncturist,Health & Fitness,Health & Fitness
1090,2007,Sociology,Social Sciences,,,,,McDermott Will & Emery LLP,Associate Attorney,Law,Law
1091,2006,Sociology,Social Sciences,,,,,Scholastica,CEO-Co-Founder,Online Media,Online Media
