ID,GRAD_YEAR,ACADEMIC_PROGRAM_1,DIVISION_1,ACADEMIC_PROGRAM_2,DIVISION_2,ACADEMIC_PROGRAM_3,DIVISION_3,Org_Name,Position,Industry,Original_Industry,Industry1,Industry2
882,2009,Political Science,Social Sciences,Environmental Studies,Interdisciplinary,NA,NA,One Acre Fund,"Senior Manager, Business Development",Non Profit,NA,Government and Social Services,Government and Social Services
883,2002,Political Science,Social Sciences,Environmental Studies,Interdisciplinary,NA,NA,Sheshunoff Information Services,Marketing Coordinator,Publishing,Publishing,Arts and Media,Arts and Media
884,2011,Political Science,Social Sciences,Environmental Studies,Interdisciplinary,NA,NA,Environmental Protection Agency (EPA),ORISE Fellow,Environmental,Environmental,STEM,STEM
885,2005,Political Science,Social Sciences,History,Social Sciences,NA,NA,Congress-Senator Mark Udall (D-CO),Deputy Communications Director,Government,Government,Government and Social Services,Government and Social Services
886,2004,Political Science,Social Sciences,History,Social Sciences,NA,NA,Eckerd College,Assistant Professor Political Science,Education,Education,Education,Education
887,2013,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,NA,NA,Critical Language Scholarship,Student,Education,Education,Education,Education
888,2009,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,NA,NA,IARD,NA,Non Profit,Non Profit,Government and Social Services,Government and Social Services
889,2013,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,Spanish Language and Literature,Humanities,Voice of America,Program Coordinator,Media,NA,Arts and Media,Arts and Media
890,2020,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,Spanish Language and Literature,Humanities,Multicultural Health Institute,Latine COVID Outreach Coordinator,Public Health,Public Health,Health and Medicine,Health and Medicine
891,2002,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,NA,NA,KSD Law,Managing Attorney,Law,Law,Government and Social Services,Government and Social Services
892,2014,Political Science,Social Sciences,Religion,Humanities,NA,NA,Peace Corps,Health Education Volunteer,Non Profit,Non Profit,Government and Social Services,Government and Social Services
893,2011,Political Science,Social Sciences,Anthropology,Social Sciences,NA,NA,South Asia Institute at Columbia University,Administrative Assistant,Education,Education,Education,Education
894,2014,Political Science,Social Sciences,Economics,Social Sciences,NA,NA,America Votes,National Deputy Political Director,Government,NA,Government and Social Services,Government and Social Services
895,2004,Political Science,Social Sciences,Economics,Social Sciences,NA,NA,Feld Entertainment Inc.,Tour Business Manager,Entertainment,Entertainment,Arts and Media,Arts and Media
896,2005,Political Science,Social Sciences,Economics,Social Sciences,NA,NA,VeeMed Inc.,Chief Revenue Officer,Medical,NA,Health and Medicine,Health and Medicine
897,2014,Political Science,Social Sciences,Economics,Social Sciences,NA,NA,WA State Dept of Labor and Industries,Revenue Agent,Government,Government,Government and Social Services,Government and Social Services
898,2008,Political Science,Social Sciences,Economics,Social Sciences,NA,NA,Stanford University,Master of Arts Degree Candidate,Education,Education,Education,Education
899,2011,Political Science,Social Sciences,Economics,Social Sciences,NA,NA,Florida House of Representatives,Assistant,Government,Government,Government and Social Services,Government and Social Services
900,2013,Political Science,Social Sciences,Economics,Social Sciences,NA,NA,Epic,Project Manager,Software,Software,STEM,STEM
901,2007,Environmental Studies,Interdisciplinary,Political Science,Social Sciences,NA,NA,Pinellas County Governement,Mgr for Strategic Performance Mgmt,Government,Government,Government and Social Services,Government and Social Services
902,2017,Political Science,Social Sciences,Gender Studies,Social Sciences,NA,NA,Planned Parenthood,Regional Organizer,Non Profit,Non Profit,Government and Social Services,Government and Social Services
903,2002,Political Science,Social Sciences,Spanish Language and Culture,Humanities,NA,NA,Defender Association of Philadelphia,Attorney,Law,Law,Government and Social Services,Government and Social Services
904,2013,Political Science,Social Sciences,History,Social Sciences,NA,NA,Searcy Denney Law,Project Assistant,Law,Law,Government and Social Services,Government and Social Services
905,2006,Political Science,Social Sciences,History,Social Sciences,NA,NA,Stinson Morrison Hecker,Attorney,Law,Law,Government and Social Services,Government and Social Services
906,2004,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,NA,NA,Caribu,Founder,Software,Software,STEM,STEM
907,2003,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,NA,NA,Millennium Challenge Corporation,Senior Program Officer,Non Profit,Non Profit,Government and Social Services,Government and Social Services
908,2005,Political Science,Social Sciences,International and Area Studies,Interdisciplinary,NA,NA,Wayfair,Data Scientist,Data Science,Data Science,STEM,STEM
909,2008,Political Science,Social Sciences,Mathematics,Natural Sciences,NA,NA,Smart Data Solutions,Senior Data Scientist,Technology,Technology,STEM,STEM
910,2007,Philosophy,Humanities,Political Science,Social Sciences,NA,NA,Markel Insurance,Actuarial Analyst,Insurance,Insurance,"Business, Finance, and Retail","Business, Finance, and Retail"
911,2019,Public Policy,Interdisciplinary,Political Science,Social Sciences,NA,NA,Florida International University,Graduate Assistant,Education,NA,Education,Education
912,2009,Political Science,Social Sciences,Spanish Language and Literature,Humanities,NA,NA,New York City Teaching Fellows,Teacher-bilingual education-6th Grade,Education,Education,Education,Education
913,2002,Political Science,Social Sciences,NA,NA,NA,NA,State of Florida,Attorney,Law,Law,Government and Social Services,Government and Social Services
914,2003,Psychology,Social Sciences,NA,NA,NA,NA,Education Development Center,Research Associate II,Non Profit,Non Profit,Government and Social Services,Government and Social Services
915,2014,Psychology,Social Sciences,NA,NA,NA,NA,Florida Blue,Digital Brand Manager,Marketing,Marketing,"Business, Finance, and Retail","Business, Finance, and Retail"
916,2007,Psychology,Social Sciences,NA,NA,NA,NA,WJB Dorn VA Medical Center,Staff Psychologist,Government,Government,Government and Social Services,Government and Social Services
917,2012,Psychology,Social Sciences,NA,NA,NA,NA,Starbucks,Store Manager,Food and Lodging,Food and Lodging,"Business, Finance, and Retail","Business, Finance, and Retail"
918,2012,Psychology,Social Sciences,NA,NA,NA,NA,"Coastal Behavioral Health, INC.",Screener,Healthcare,Healthcare,Health and Medicine,Health and Medicine
919,2012,Psychology,Social Sciences,NA,NA,NA,NA,Home Depot,Data Analyst,Retail,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
920,2012,Psychology,Social Sciences,NA,NA,NA,NA,University of Michigan,Postdoctoral Fellow,Education,NA,Education,Education
921,2009,Psychology,Social Sciences,NA,NA,NA,NA,Research Collective,Human Factors Researcher,Research,NA,STEM,STEM
922,2010,Psychology,Social Sciences,NA,NA,NA,NA,Lincoln Elementary School,Development Skills teacher,Education,Education,Education,Education
923,2012,Psychology,Social Sciences,NA,NA,NA,NA,Le Macaron French Pastries,Service Associate,Food Service,Food Service,"Business, Finance, and Retail","Business, Finance, and Retail"
924,2005,Psychology,Social Sciences,NA,NA,NA,NA,"iWin, Inc",Lead Designer,Software Design,Software Design,STEM,STEM
925,2008,Psychology,Social Sciences,NA,NA,NA,NA,Lost Planet,Assistant Editor,Film,Film,Arts and Media,Arts and Media
926,2015,Psychology,Social Sciences,NA,NA,NA,NA,Thrive Media,Content Strategist,Media,Media,Arts and Media,Arts and Media
927,2013,Psychology,Social Sciences,NA,NA,NA,NA,"Gamestop, Inc.",Senior Game Advisor,Technology,Technology,STEM,STEM
928,2003,Psychology,Social Sciences,NA,NA,NA,NA,Legal Advocates for Children and Youth,Senior Attorney,Non Profit,Non Profit,Government and Social Services,Government and Social Services
929,2016,Psychology,Social Sciences,NA,NA,NA,NA,Oak Park Temple,Religious School Teacher,Education,Education,Education,Education
930,2011,Psychology,Social Sciences,NA,NA,NA,NA,General Federation of Women's Clubs,Administrative Assistant,Community Services,Community Services,Government and Social Services,Government and Social Services
931,2010,Psychology,Social Sciences,NA,NA,NA,NA,Security National Mortgage Company,JR. Broker Coordinator,Financial Services,Financial Services,"Business, Finance, and Retail","Business, Finance, and Retail"
932,2014,Psychology,Social Sciences,NA,NA,NA,NA,Office of the Public Defender - 20th Judicial Circuit,Disposition Specialist II,Law,NA,Government and Social Services,Government and Social Services
933,2012,Psychology,Social Sciences,NA,NA,NA,NA,NewGate School,Education Support Specialist,Education,NA,Education,Education
934,2013,Psychology,Social Sciences,NA,NA,NA,NA,City Year Miami,Team leader,Non Profit,Non Profit,Government and Social Services,Government and Social Services
935,2011,Psychology,Social Sciences,NA,NA,NA,NA,"Donders Institute for Brain, Cognition and Behaviour",NA,Research,Research,STEM,STEM
936,2012,Psychology,Social Sciences,NA,NA,NA,NA,Banfield Pet Hospital,Unknown,Medical,Medical,Health and Medicine,Health and Medicine
937,2013,Psychology,Social Sciences,NA,NA,NA,NA,Excite All Stars,Counselor,Education,Education,Education,Education
938,2016,Psychology,Social Sciences,NA,NA,NA,NA,SeaWorld,Educator,Marine,Marine,STEM,STEM
939,2012,Psychology,Social Sciences,NA,NA,NA,NA,Fem Rouge Magazine,Marketing Director for start up company,Marketing,Marketing,"Business, Finance, and Retail","Business, Finance, and Retail"
940,2006,Psychology,Social Sciences,NA,NA,NA,NA,America Scores Miami,NA,Nonprofit,Nonprofit,Government and Social Services,Government and Social Services
941,2018,Psychology,Social Sciences,NA,NA,NA,NA,University of South Florida,Clinical Research Associate,Higher education,Higher education,Education,Education
942,2002,Psychology,Social Sciences,NA,NA,NA,NA,Georgia Institute of Technology,Ph.D Student / Exp. Psychology,Education,Education,Education,Education
943,2006,Psychology,Social Sciences,NA,NA,NA,NA,Berkeley Unified School District,Education Specialist,Education,Education,Education,Education
944,2009,Psychology,Social Sciences,NA,NA,NA,NA,Hunton & Williams LLP,Paralegal,Law,Law,Government and Social Services,Government and Social Services
945,2012,Psychology,Social Sciences,NA,NA,NA,NA,Urvin AI,Data Engineer,Technology,NA,STEM,STEM
946,2010,Psychology,Social Sciences,NA,NA,NA,NA,Antioch University Seattle,Enrollment Services Coordinator,Education,Education,Education,Education
947,2010,Psychology,Social Sciences,NA,NA,NA,NA,Washington University in St. Louis,Ph.D. Candidate,Education,Education,Education,Education
948,2010,Psychology,Social Sciences,NA,NA,NA,NA,The Miriam Hospital,Research Assistant,Healthcare,Healthcare,Health and Medicine,Health and Medicine
949,2008,Psychology,Social Sciences,NA,NA,NA,NA,Florida Department of Health - Sarasota Co,Tobacco Program Manager,Healthcare,Healthcare,Health and Medicine,Health and Medicine
950,2009,Psychology,Social Sciences,NA,NA,NA,NA,Memorial Sloan Kettering,Research Study Assistant,Medical,Medical,Health and Medicine,Health and Medicine
951,2004,Psychology,Social Sciences,NA,NA,NA,NA,Park East High School,"Math Teacher, Dept. Head",Education,Education,Education,Education
952,2005,Psychology,Social Sciences,NA,NA,NA,NA,Coastal Counseling,Social Worker,Community Services,Community Services,Government and Social Services,Government and Social Services
953,2013,Psychology,Social Sciences,NA,NA,NA,NA,Peace Corps,Volunteer,Non Profit,Non Profit,Government and Social Services,Government and Social Services
954,2019,Psychology,Social Sciences,NA,NA,NA,NA,Law360,Data Analyst,Law,NA,Government and Social Services,Government and Social Services
955,2012,Psychology,Social Sciences,NA,NA,NA,NA,Community Assisted & Supported Living Inc,Supportive Housing Program Mgr,Non Profit,Non Profit,Government and Social Services,Government and Social Services
956,2007,Psychology,Social Sciences,NA,NA,NA,NA,Linn-Benton Community College,Adjunct Professor,Education,Education,Education,Education
957,2018,Psychology,Social Sciences,NA,NA,NA,NA,Law Office of Robert H. Mohr,Legal Assistant,Law,Law,Government and Social Services,Government and Social Services
958,2004,Psychology,Social Sciences,NA,NA,NA,NA,"Marsh & McLennan Companies, Inc.","Sr. Mgr., Social Impact, Global Partnershipss",Business Consulting,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
959,2004,Psychology,Social Sciences,NA,NA,NA,NA,Univ. of Florida,Mental Health Technician,Healthcare Services,Healthcare Services,Health and Medicine,Health and Medicine
960,2008,Psychology,Social Sciences,NA,NA,NA,NA,Ellucian,Associate Consultant,Education,Education,Education,Education
961,2004,Psychology,Social Sciences,NA,NA,NA,NA,ALSAC/St Jude Children's Research Hospitl,Bilingual Web Content Specialist,Healthcare,Healthcare,Health and Medicine,Health and Medicine
962,2011,Psychology,Social Sciences,NA,NA,NA,NA,Best Buy,Customer Specialist,Retail,Retail,"Business, Finance, and Retail","Business, Finance, and Retail"
963,2004,Psychology,Social Sciences,NA,NA,NA,NA,Stephen F. Austin State University,Teaching Assistant,Education,Education,Education,Education
964,2016,Psychology,Social Sciences,NA,NA,NA,NA,New College of Florida,Admissions Coordinator,Education,Education,Education,Education
965,2014,Psychology,Social Sciences,NA,NA,NA,NA,Universitat Pompeu Fabra,Research Assistant,Education,Education,Education,Education
966,2017,Psychology,Social Sciences,NA,NA,NA,NA,Tastefulbellys,Co-Founder,Food,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
967,2013,Psychology,Social Sciences,NA,NA,NA,NA,Unemployed,NA,Unemployed,NA,Unemployed,Other
968,2018,Psychology,Social Sciences,NA,NA,NA,NA,Deloitte,Solution Analyst,Technology,Technology,STEM,STEM
969,2003,Psychology,Social Sciences,NA,NA,NA,NA,Ashworth University,Associate Registrar,Education,Education,Education,Education
970,2013,Psychology,Social Sciences,NA,NA,NA,NA,The Smile,Catering Manager,Photography,Photography,Arts and Media,Arts and Media
971,2004,Psychology,Social Sciences,NA,NA,NA,NA,University of Florida,Assistant Professor,Research,Research,STEM,STEM
972,2003,Psychology,Social Sciences,NA,NA,NA,NA,Ghirardelli Chocolate Company,Product Designer,Food and Lodging,Food and Lodging,"Business, Finance, and Retail","Business, Finance, and Retail"
973,2003,Psychology,Social Sciences,NA,NA,NA,NA,Office of the State Attorney,Assistant State Attorney,Law,Law,Government and Social Services,Government and Social Services
974,2008,Psychology,Social Sciences,NA,NA,NA,NA,Bay Pines Healthcare System,Director of Whole Health Services,Medical,Medical,Health and Medicine,Health and Medicine
975,2011,Psychology,Social Sciences,NA,NA,NA,NA,Blue Cross Blue Shield Global,Senior Account Management Specialist,Healthcare,Healthcare,Health and Medicine,Health and Medicine
976,2012,Psychology,Social Sciences,NA,NA,NA,NA,Education Development Center,Research Associate II,Non Profit,NA,Government and Social Services,Government and Social Services
977,2020,Psychology,Social Sciences,NA,NA,NA,NA,The Palace Group,Activities Assistant,Healthcare,NA,Health and Medicine,Health and Medicine
978,2015,Psychology,Social Sciences,NA,NA,NA,NA,"Children First, Inc.",Family Advocate,Non Profit,Non Profit,Government and Social Services,Government and Social Services
979,2002,Psychology,Social Sciences,NA,NA,NA,NA,OCPS,Teacher,Education,Education,Education,Education
980,2007,Psychology,Social Sciences,NA,NA,NA,NA,Western State University,Law Student,Law,Law,Government and Social Services,Government and Social Services
981,2012,Psychology,Social Sciences,NA,NA,NA,NA,Catalyst Miami,Communications Coordinator- VISTA,Journalism,Journalism,Arts and Media,Arts and Media
982,2004,Psychology,Social Sciences,NA,NA,NA,NA,University of North Carolina,Research Project Manager,Education,Education,Education,Education
983,2012,Psychology,Social Sciences,NA,NA,NA,NA,University of Arizona,PhD Candidate,Education,Education,Education,Education
984,2004,Psychology,Social Sciences,NA,NA,NA,NA,Mattie Rhodes Center,Community Services Specialist,Non Profit,Non Profit,Government and Social Services,Government and Social Services
985,2003,Psychology,Social Sciences,NA,NA,NA,NA,Unknown,NA,Education,Education,Education,Education
986,2004,Psychology,Social Sciences,NA,NA,NA,NA,unknown,NA,Unknown,NA,Unknown,Other
987,2015,Psychology,Social Sciences,NA,NA,NA,NA,Palm Shores Behavioral Center,Mental health Technician,Health & Fitness,Health & Fitness,Health and Medicine,Health and Medicine
988,2004,Psychology,Social Sciences,NA,NA,NA,NA,Country Doctor Clinic,HIV Medical Case Manager,Healthcare,Healthcare,Health and Medicine,Health and Medicine
989,2013,Psychology,Social Sciences,NA,NA,NA,NA,Operation Par,Counselor,Healthcare Services,NA,Health and Medicine,Health and Medicine
990,2009,Psychology,Social Sciences,NA,NA,NA,NA,Galileo Learning,Camp Director,Education,Education,Education,Education
991,2015,Psychology,Social Sciences,NA,NA,NA,NA,"Maglio, Christopher & Toale",Research Assistant,Law,Law,Government and Social Services,Government and Social Services
992,2002,Psychology,Social Sciences,NA,NA,NA,NA,The Children's Program,Licensed Psychologist,Education,Education,Education,Education
993,2005,Psychology,Social Sciences,NA,NA,NA,NA,"University of Utah, Psychology Department",Assistant Professor,Education,Education,Education,Education
994,2011,Psychology,Social Sciences,NA,NA,NA,NA,Blackboard,Director of Analytics,Information Technology,Information Technology,STEM,STEM
995,2003,Psychology,Social Sciences,NA,NA,NA,NA,Florida Atlantic University,Writing Consultant,Education,Education,Education,Education
996,2008,Psychology,Social Sciences,NA,NA,NA,NA,"Gassman, Crotty & Denicolo",Law Clerk,Law,Law,Government and Social Services,Government and Social Services
997,2003,Psychology,Social Sciences,NA,NA,NA,NA,East Tennessee State University Department of Social Work,Assistant Professor,Education,Education,Education,Education
998,2007,Psychology,Social Sciences,NA,NA,NA,NA,Law office of John B. Baez,Attorney,Law,Law,Government and Social Services,Government and Social Services
999,2002,Psychology,Social Sciences,NA,NA,NA,NA,Bleuler Psychotherapy Center,Psychotherapist,Healthcare Services,Healthcare Services,Health and Medicine,Health and Medicine
1000,2006,Psychology,Social Sciences,NA,NA,NA,NA,LA Department of Aging,Americorps Volunteer,City/County/State,City/County/State,Government and Social Services,Government and Social Services
1001,2002,Psychology,Social Sciences,NA,NA,NA,NA,Epic,Software Quality Assurance,Software,Software,STEM,STEM
1002,2008,Psychology,Social Sciences,NA,NA,NA,NA,Jewish Family Services,Case Manager,Non Profit,Non Profit,Government and Social Services,Government and Social Services
1003,2006,Psychology,Social Sciences,NA,NA,NA,NA,"Purrfect Portal, Inc.",Founder,Retail,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
1004,2002,Psychology,Social Sciences,NA,NA,NA,NA,The Nielsen Company,Research Analyst,Research,Research,STEM,STEM
1005,2002,Psychology,Social Sciences,NA,NA,NA,NA,University of Virginia,Assistant Professor,Education,Education,Education,Education
1006,2006,Psychology,Social Sciences,NA,NA,NA,NA,Art & Science Group,Graduate Student,Non-profit consulting,Non-profit consulting,"Business, Finance, and Retail","Business, Finance, and Retail"
1007,2002,Psychology,Social Sciences,NA,NA,NA,NA,ATCMHMR,Counselor,Healthcare Services,Healthcare Services,Health and Medicine,Health and Medicine
1008,2004,Psychology,Social Sciences,NA,NA,NA,NA,RTI International,Data Scientist,Data Science,Data Science,STEM,STEM
1009,2002,Psychology,Social Sciences,NA,NA,NA,NA,Walmart,Night Stocker,Retail,Retail,"Business, Finance, and Retail","Business, Finance, and Retail"
1010,2005,Psychology,Social Sciences,NA,NA,NA,NA,University of South Alabama,Resident Physician,Healthcare,Healthcare,Health and Medicine,Health and Medicine
1011,2002,Psychology,Social Sciences,Environmental Studies,Interdisciplinary,NA,NA,Environmental Protection Agency,Presidential Management Fellow,Government,Government,Government and Social Services,Government and Social Services
1012,2013,Psychology,Social Sciences,Philosophy,Humanities,NA,NA,"Student Business Services Co-Op of Sarasota, LLC",Transcriptionist,Services,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
1013,2020,Political Science,Social Sciences,Psychology,Social Sciences,NA,NA,Northwestern University,Graduate Research Assistant,Education,NA,Education,Education
1014,2010,Anthropology,Social Sciences,Psychology,Social Sciences,NA,NA,Transverse Myeletis Association,Associate Dir of Research,Non Profit,Non Profit,Government and Social Services,Government and Social Services
1015,2020,Psychology,Social Sciences,Applied Mathematics,Natural Sciences,NA,NA,Energize Dance Studio,Owner/Director,Entertainment,NA,Arts and Media,Arts and Media
1016,2015,Art,Humanities,Psychology,Social Sciences,NA,NA,New College Child Center,Teacher,Education / Training,Education / Training,Education,Education
1017,2012,Art,Humanities,Psychology,Social Sciences,NA,NA,Jewish Child and Family Services,Teaching Assistant,Psychotherapy,Psychotherapy,Health and Medicine,Health and Medicine
1018,2006,Psychology,Social Sciences,Gender Studies,Social Sciences,NA,NA,Auburn School District,Behavior Intervention Specialist,Education,Education,Education,Education
1019,2012,Psychology,Social Sciences,Gender Studies,Social Sciences,NA,NA,William G. and Marie Selby Foundation,Scholarships/Special Project Mgr,Non Profit,Non Profit,Government and Social Services,Government and Social Services
1020,2014,Psychology,Social Sciences,Gender Studies,Social Sciences,NA,NA,Planned Parenthood,Reproductive Health Assistant,Non Profit,Non Profit,Government and Social Services,Government and Social Services
1021,2013,Psychology,Social Sciences,Gender Studies,Social Sciences,NA,NA,Generation SERVE,Marketing Coordinator,Marketing,Marketing,"Business, Finance, and Retail","Business, Finance, and Retail"
1022,2014,Psychology,Social Sciences,Gender Studies,Social Sciences,NA,NA,New College of Florida,Compliance Officer & Deputy Title IX Coordinator,Education,NA,Education,Education
1023,2005,Psychology,Social Sciences,History,Social Sciences,NA,NA,Unknown,NA,Government,Government,Government and Social Services,Government and Social Services
1024,2008,Psychology,Social Sciences,History,Social Sciences,NA,NA,University of Maryland,Doctoral Student in Social Psychology,Education,Education,Education,Education
1025,2008,Marine Biology,Natural Sciences,Psychology,Social Sciences,NA,NA,El Paso Zoo,Zoo Area Supervisor,Museums and Institutions,NA,Education,Education
1026,2016,Psychology,Social Sciences,Music,Humanities,NA,NA,Charlotte County Public Schools,Substitute Teacher,Education,Education,Education,Education
1027,2008,Psychology,Social Sciences,Philosophy,Humanities,NA,NA,National Labor Relations Board,NA,Government,Government,Government and Social Services,Government and Social Services
1028,2005,Psychology,Social Sciences,Russian Language and Literature,Humanities,NA,NA,Johns Hopkins University,Program Coordinator,Education,Education,Education,Education
1029,2012,Spanish Language and Literature,Humanities,Psychology,Social Sciences,NA,NA,DbMedX,Quality Engineer,Medical Equipment,Medical Equipment,Health and Medicine,Health and Medicine
1030,2006,Public Policy,Interdisciplinary,NA,NA,NA,NA,"Ropes & Gray, LLP",Summer Associate,Law,Law,Government and Social Services,Government and Social Services
1031,2014,Public Policy,Interdisciplinary,NA,NA,NA,NA,"SailFuture, Inc",Director,Non Profit,Non Profit,Government and Social Services,Government and Social Services
1032,2003,Public Policy,Interdisciplinary,NA,NA,NA,NA,Department of Defense,Financial Analyst,Government,Government,Government and Social Services,Government and Social Services
1033,2002,Economics,Social Sciences,Public Policy,Interdisciplinary,NA,NA,"Highmark, Inc.",Medical Economics Consultant,Consulting,Consulting,"Business, Finance, and Retail","Business, Finance, and Retail"
1034,2020,Economics,Social Sciences,NA,NA,NA,NA,International Monetary Fund,"Research Assistant, Middle East & Central Asia Dep",Research,NA,STEM,STEM
1035,2011,Humanities,Humanities,NA,NA,NA,NA,SRQ Magazine,Staff Photographer,Journalism,Journalism,Arts and Media,Arts and Media
1036,2011,Humanities,Humanities,NA,NA,NA,NA,The Lawrence J. Schoenberg Database of Manuscripts,Senior Researcher,Research,Research,STEM,STEM
1037,2013,Humanities,Humanities,NA,NA,NA,NA,New College of Florida,VISTA Volunteer Coordinator,Education,Education,Education,Education
1038,2018,Humanities,Humanities,NA,NA,NA,NA,First Church Shelter,Health and Safety Worker (part-time),Nonprofit,Nonprofit,Government and Social Services,Government and Social Services
1039,2019,Humanities,Humanities,NA,NA,NA,NA,"YMCA of Easley, Pickens & Powdersville",Afterschool Care Site Coordinator,Non Profit,Non Profit,Government and Social Services,Government and Social Services
1040,2008,Humanities,Humanities,NA,NA,NA,NA,Camden Coalition of Healthcare Providers,Senior Communications Writer,Healthcare,Healthcare,Health and Medicine,Health and Medicine
1041,2011,Humanities,Humanities,NA,NA,NA,NA,Appalachian Mountain Community Health Center,Physician Assistant,Healthcare,Healthcare,Health and Medicine,Health and Medicine
1042,2005,Humanities,Humanities,NA,NA,NA,NA,Unknown,Librarian,Library,NA,Education,Education
1043,2010,Humanities,Humanities,NA,NA,NA,NA,North American Teaching and Cultural Assistant Program,Teaching Assistant,Education,Education,Education,Education
1044,2014,Humanities,Humanities,NA,NA,NA,NA,Academy of Precision Learning,ABA Therapist,Medical,Medical,Health and Medicine,Health and Medicine
1045,2008,Humanities,Humanities,NA,NA,NA,NA,"General Services Administration, Office of Regional Counsel",NA,Government,Government,Government and Social Services,Government and Social Services
1046,2003,Humanities,Humanities,NA,NA,NA,NA,MAPS,NA,Medical,NA,Health and Medicine,Health and Medicine
1047,2006,Humanities,Humanities,NA,NA,NA,NA,Erica Sirotich Illustration,Illustrator,Arts,Arts,Arts and Media,Arts and Media
1048,2009,Humanities,Humanities,NA,NA,NA,NA,Creative Pinellas,Administrative & Marketing Coordinator,Non Profit,Non Profit,Government and Social Services,Government and Social Services
1049,2019,Humanities,Humanities,NA,NA,NA,NA,Global Advisor Group,Client Service Associate,Consulting,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
1050,2008,Humanities,Humanities,NA,NA,NA,NA,Capitol Area Immigrant Rights Coalition,Avodah/Jewish Service Corps Fellow,Nonprofit,Nonprofit,Government and Social Services,Government and Social Services
1051,2002,Humanities,Humanities,NA,NA,NA,NA,ICF International,Senior Associate,Public Health,Public Health,Health and Medicine,Health and Medicine
1052,2006,Humanities,Humanities,NA,NA,NA,NA,Georgetown Law School,Student,Law,Law,Government and Social Services,Government and Social Services
1053,2006,Humanities,Humanities,NA,NA,NA,NA,New College of Florida,AV Specialist,Education,NA,Education,Education
1054,2012,Humanities,Humanities,NA,NA,NA,NA,6th Judicial Circuit,Assistant State Attorney,Law,Law,Government and Social Services,Government and Social Services
1055,2003,Humanities,Humanities,NA,NA,NA,NA,Vietnamese American Vocational Training College,Dean of Academic & Student Affairs,Education,Education,Education,Education
1056,2008,Humanities,Humanities,NA,NA,NA,NA,USF College of Marine Science,Assistant Director for Academic Affairs,Education,Education,Education,Education
1057,2018,Humanities,Humanities,NA,NA,NA,NA,"American Documentary, Inc.",Digital Production Coordinator,Entertainment,NA,Arts and Media,Arts and Media
1058,2009,Humanities,Humanities,NA,NA,NA,NA,Piedmont Restaurant,Cook,Food Service,Food Service,"Business, Finance, and Retail","Business, Finance, and Retail"
1059,2013,Humanities,Humanities,Chinese Language and Culture,Humanities,NA,NA,Walgreens,Sales Clerk,Retail,Retail,"Business, Finance, and Retail","Business, Finance, and Retail"
1060,2016,Gender Studies,Social Sciences,Religion,Humanities,NA,NA,Private,Nanny,Services,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
1061,2003,Gender Studies,Social Sciences,Religion,Humanities,NA,NA,Yoga Educator Academy,Director,Health & Fitness,Health & Fitness,Health and Medicine,Health and Medicine
1062,2015,Humanities,Humanities,Philosophy,Humanities,NA,NA,Duke TiP / Rice University,Resident Counselor,Education,Education,Education,Education
1063,2012,Humanities,Humanities,Political Science,Social Sciences,NA,NA,United Healthcare,Sr. Capability Manager,Insurance,Insurance,"Business, Finance, and Retail","Business, Finance, and Retail"
1064,2015,Humanities,Humanities,Psychology,Social Sciences,NA,NA,Temple Sinai Religious School,Hebrew instructor,Religion,Religion,Government and Social Services,Government and Social Services
1065,2019,Humanities,Humanities,Spanish Language and Literature,Humanities,NA,NA,Unknown,NA,Unknown,NA,Unknown,Other
1066,2007,Russian Language and Literature,Humanities,NA,NA,NA,NA,Collier County Public Schools- Golden Gate High School,Language Arts/ AP Literature Teacher,Education,Education,Education,Education
1067,2017,Russian Language and Literature,Humanities,Philosophy,Humanities,NA,NA,Wells Fargo,Quality Assurance Team Lead,Financial Services,Financial Services,"Business, Finance, and Retail","Business, Finance, and Retail"
1068,2002,Social Sciences,Social Sciences,NA,NA,NA,NA,Unknown,Preschool Teacher,Education,Education,Education,Education
1069,2005,Social Sciences,Social Sciences,NA,NA,NA,NA,University of TX at Austin,Graduate Program Coordinator,Education,Education,Education,Education
1070,2014,Social Sciences,Social Sciences,NA,NA,NA,NA,Peace Corps Macedonia,NA,Non Profit,NA,Government and Social Services,Government and Social Services
1071,2016,Social Sciences,Social Sciences,NA,NA,NA,NA,Ritz Carlton,Front Desk Agent,Food and Lodging,NA,"Business, Finance, and Retail","Business, Finance, and Retail"
1072,2005,Social Sciences,Social Sciences,NA,NA,NA,NA,Law Office of Brian R. Claeys,Attorney,Law,Law,Government and Social Services,Government and Social Services
